"group","trial_name","trial_type","video_name","trialID","feedback","target","distractor1","distractor2","distractor3"
1,"Type2comp_trial1","Type2comp","FuncComp_counterfeed_3_right.mp4",15,NA,"unsmashed_left_3.jpg","smashed_left_3.jpg","unsmashed_right_3.jpg","smashed_right_3.jpg"
1,"Type2comp_trial2","Type2comp","FuncComp_counterfeed_3_left.mp4",16,NA,"unsmashed_right_3.jpg","smashed_right_3.jpg","unsmashed_left_3.jpg","smashed_left_3.jpg"
1,"Type2comp_trial3","Type2comp","FuncComp_counterfeed_2_left.mp4",17,NA,"unsmashed_right_2.jpg","smashed_right_2.jpg","unsmashed_left_2.jpg","smashed_left_2.jpg"
1,"Type2comp_trial4","Type2comp","FuncComp_counterfeed_2_right.mp4",18,NA,"unsmashed_left_2.jpg","smashed_left_2.jpg","unsmashed_right_2.jpg","smashed_right_2.jpg"
1,"Type2comp_trial5","Type2comp","FuncComp_counterfeed_1_left.mp4",19,NA,"unsmashed_right_1.jpg","smashed_right_1.jpg","unsmashed_left_1.jpg","smashed_left_1.jpg"
1,"Type2comp_trial6","Type2comp","FuncComp_counterfeed_1_right.mp4",20,NA,"unsmashed_left_1.jpg","smashed_left_1.jpg","unsmashed_right_1.jpg","smashed_right_1.jpg"
2,"Type2comp_trial1","Type2comp","FuncComp_counterfeed_2_left.mp4",15,NA,"unsmashed_right_2.jpg","smashed_right_2.jpg","unsmashed_left_2.jpg","smashed_left_2.jpg"
2,"Type2comp_trial2","Type2comp","FuncComp_counterfeed_2_right.mp4",16,NA,"unsmashed_left_2.jpg","smashed_left_2.jpg","unsmashed_right_2.jpg","smashed_right_2.jpg"
2,"Type2comp_trial3","Type2comp","FuncComp_counterfeed_1_left.mp4",17,NA,"unsmashed_right_1.jpg","smashed_right_1.jpg","unsmashed_left_1.jpg","smashed_left_1.jpg"
2,"Type2comp_trial4","Type2comp","FuncComp_counterfeed_1_right.mp4",18,NA,"unsmashed_left_1.jpg","smashed_left_1.jpg","unsmashed_right_1.jpg","smashed_right_1.jpg"
